partition_set_id,partition_id,method,start_node,cycle_time,num_complete_cycles,benefit,benefit_per_minute,cost_without_plow,cost_with_plow,coverage_ratio,total_priority,unique_edges
0,5,chinese_postman,354,50.43855228829974,14,432484.275571535,600.6726049604653,464261.76,31777.48442846502,1.0,108.541,190
1,5,chinese_postman,363,50.438552288299746,14,432483.17762605875,600.6710800361927,464261.76,31778.582373941244,1.0,108.541,190
1,5,chinese_postman,376,50.43855228829971,14,432481.52911286167,600.6687904345301,464261.76000000024,31780.230887138598,1.0,108.54100000000005,190
1,5,chinese_postman,373,50.43855228829971,14,432480.4455962898,600.6672855504025,464261.7600000002,31781.31440371036,1.0,108.54100000000004,190
2,5,chinese_postman,373,50.43855228829971,14,432480.4455962898,600.6672855504025,464261.7600000002,31781.31440371036,1.0,108.54100000000004,190
0,5,chinese_postman,383,50.43855228829973,14,432480.2447668995,600.6670066206938,464261.7599999999,31781.515233100403,1.0,108.54099999999998,190
0,5,chinese_postman,652,50.43855228829974,14,432476.64869015256,600.6620120696564,464261.76000000007,31785.111309847525,1.0,108.54100000000001,190
0,4,random_walk,348,110.2541572700456,6,429077.0717833808,595.9403774769178,485485.92000000016,56408.84821661936,1.0,275.3279999999999,206
1,4,random_walk,446,111.81861481885483,6,427923.0562260231,594.3375780916988,491034.9600000001,63111.903773976956,1.0,226.6319999999998,242
2,4,random_walk,60,112.49743694748614,6,424687.74221857375,589.8440864146858,487067.04000000004,62379.29778142631,1.0,227.7304999999999,235
2,4,random_walk,487,110.18207517674902,6,422869.0428765191,587.3181151062765,472456.80000000034,49587.75712348127,1.0,314.02399999999994,199
2,4,random_walk,24,109.2975253274112,6,419998.4018579168,583.3311136915511,473098.31999999995,53099.91814208317,1.0,302.2815,204
0,4,random_walk,486,109.3862012691734,6,417492.34133700904,579.8504740791792,466333.20000000007,48840.85866299103,1.0,320.470000000001,197
1,4,random_walk,337,109.78799241117463,6,415932.18768059585,577.6835940008276,468020.16000000027,52087.9723194044,1.0,301.3539999999998,208
0,4,random_walk,57,111.9970136243027,6,412775.54916508496,573.2993738403958,468590.4000000001,55814.850834915116,1.0,287.8070000000006,216
2,4,random_walk,488,108.96338280561861,6,408763.48900952475,567.7270680687844,464689.4400000002,55925.950990475445,1.0,280.3465000000004,197
1,4,random_walk,441,112.42165259373742,6,405195.264005829,562.7712000080958,464175.36000000057,58980.0959941716,1.0,207.09199999999936,248
1,4,random_walk,669,110.23121353643157,6,402503.41076491884,559.0325149512762,454284.71999999986,51781.309235081,1.0,278.55649999999946,194
2,4,random_walk,493,109.99081614389202,6,400463.76379520365,556.1996719377828,457397.2800000002,56933.516204796586,1.0,253.54949999999903,198
0,4,random_walk,643,110.57523412690891,6,386775.7479051288,537.1885387571233,443510.64,56734.89209487122,1.0,234.0389999999999,232
2,4,random_walk,55,112.30763181323373,6,381212.76507745724,529.4621737186906,434339.2799999999,53126.51492254269,1.0,250.0829999999998,215
2,4,random_walk,61,110.74397718296905,6,380550.2459342877,528.5420082420662,433736.6400000002,53186.39406571244,1.0,244.66499999999994,230
